상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번주소,도로명코드,도로명,건물관리번호,도로명주소,우편번호,층정보
MA0101202503A0041809,탐족족발보쌈청주용암,본점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111720,용암1동,4311112400,용암동,4311112400123699712,1,대지,충청북도 청주시 상당구 용암동 2370,431113236008,충청북도 청주시 상당구 낙영로,4.3111124001237e+24,충청북도 청주시 상당구 낙영로 29,28766.0,1.0
MA0101202503A0031446,텐퍼센트커피충주,터미널점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43130,충주시,43130625,칠금.금릉동,4313011600,칠금동,4313011600108630016,1,대지,충청북도 충주시 칠금동 863,431302238001,충청북도 충주시 계명대로,4.31301160010863e+24,충청북도 충주시 계명대로 24,27361.0,1.0
MA0101202503A0046467,남문갈매기,본점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111545,성안동,4311111000,남주동,4311111000101890048,1,대지,충청북도 청주시 상당구 남주동 189-6,431114508117,충청북도 청주시 상당구 남사로102번길,4.31111100010189e+24,충청북도 청주시 상당구 남사로102번길 17,28532.0,1.0
MA0101202503A0026673,이레네,코리아,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,화장품; 비누 및 방향제 소매업,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4311410300109230080,1,대지,충청북도 청주시 청원구 율량동 923,431143236064,충청북도 청주시 청원구 공항로,4.31111150010924e+24,충청북도 청주시 청원구 공항로 106,28331.0,2.0
MA0101202503A0079111,참토스트청주개신,가경점,I2,음식,I210,기타 간이,I21005,토스트/샌드위치/샐러드,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43112,청주시 서원구,43112590,성화.개신.죽림동,4311210900,개신동,4311210900106919936,1,대지,충청북도 청주시 서원구 개신동 692,431123237030,충청북도 청주시 서원구 복대로,4.31131110010692e+24,충청북도 청주시 서원구 복대로 27,28612.0,1.0
MA0101202503A0078570,청주맛집단성무이,충북대점,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4311210200104949760,1,대지,충청북도 청주시 서원구 사창동 495,431124512181,충청북도 청주시 서원구 1순환로694번길,4.31131020010495e+24,충청북도 청주시 서원구 1순환로694번길 4,28643.0,1.0
MA0101202503A0026995,두찜충북,증평점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43745,증평군,43745250,증평읍,4374525022,증평읍,4374525022101459968,1,대지,충청북도 증평군 증평읍 교동리 146-2,437453014040,충청북도 증평군 증평읍 광장로,4.37452502210146e+24,충청북도 증평군 증평읍 광장로 131,27931.0,1.0
MA0101202503A0059457,파스쿠찌서충주,신도시점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43130,충주시,43130385,중앙탑면,4313038526,중앙탑면,4313038526106700288,1,대지,충청북도 충주시 중앙탑면 용전리 670,431303238103,충청북도 충주시 중앙탑면 기업도시로,4.3130385261067e+24,충청북도 충주시 중앙탑면 기업도시로 222,27465.0,3.0
MA0101202503A0066418,메가엠지씨커피충북음성,시장점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43770,음성군,43770250,음성읍,4377025021,음성읍,4377025021102459904,1,대지,충청북도 음성군 음성읍 읍내리 246-20,437703247032,충청북도 음성군 음성읍 시장로,4.37702502110246e+24,충청북도 음성군 음성읍 시장로 120-1,27696.0,1.0
MA0101202503A0036905,여성전용그룹PTFFFF청주,복대점,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4311311400129260032,1,대지,충청북도 청주시 흥덕구 복대동 2926,431133237079,충청북도 청주시 흥덕구 증안로,4.31131140012926e+24,충청북도 청주시 흥덕구 증안로 58,28420.0,3.0
MA0101202502A0069410,에어컨청소세척냉난방기수리오마이클린청주,본점,N1,시설관리·임대,N102,청소·방제,N10202,산업설비; 운송장비 및 공공장소 청소업,N74212,산업설비; 운송장비 및 공공장소 청소업,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4311410300110659584,1,대지,충청북도 청주시 청원구 율량동 1066,431142014003,충청북도 청주시 청원구 충청대로,4.31111150011066e+24,충청북도 청주시 청원구 충청대로 113,28333.0,2.0
MA0101202502A0100311,명품순두부오송,2호점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43113,청주시 흥덕구,43113250,오송읍,4311325031,오송읍,4311325031108979712,1,대지,충청북도 청주시 흥덕구 오송읍 봉산리 898,431133351776,충청북도 청주시 흥덕구 오송읍 오송생명13로,4.31132503110898e+24,충청북도 청주시 흥덕구 오송읍 오송생명13로 51,28222.0,1.0
MA0101202502A0024450,와이에이치키친랩,금천점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4311112000101139968,1,대지,충청북도 청주시 상당구 금천동 114-6,431114508100,충청북도 청주시 상당구 꽃산서로8번길,4.31111200010114e+24,충청북도 청주시 상당구 꽃산서로8번길 70-4,28732.0,1.0
MA0101202502A0094172,드림바디휘트니스,가경점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4311311300117009920,1,대지,충청북도 청주시 흥덕구 가경동 1701,431133237002,충청북도 청주시 흥덕구 가경로,4.31131130011701e+24,충청북도 청주시 흥덕구 가경로 9-1,28413.0,6.0
MA0101202502A0090056,미인계,산남점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43112,청주시 서원구,43112550,산남동,4311210400,산남동,4311210400103940096,1,대지,충청북도 청주시 서원구 산남동 394,431124511757,충청북도 청주시 서원구 원흥로100번길,4.31131060010394e+24,충청북도 청주시 서원구 원흥로100번길 76,28626.0,1.0
MA0101202502A0099695,파닭참잘하는집사창,사직점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4311210200102970368,1,대지,충청북도 청주시 서원구 사창동 297-3,431123237019,충청북도 청주시 서원구 내수동로,4.31131020010297e+24,충청북도 청주시 서원구 내수동로 170,28649.0,1.0
MA0101202502A0051143,감성스터디카페청주,오창점,R1,예술·스포츠,R102,도서관·사적지,R10202,독서실/스터디 카페,R90212,독서실 운영업,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425344,오창읍,4311425344106490368,1,대지,충청북도 청주시 청원구 오창읍 각리 649-3,431143240063,충청북도 청주시 청원구 오창읍 오창중앙로,4.37102534400649e+24,충청북도 청주시 청원구 오창읍 오창중앙로 123-8,28123.0,4.0
MA0101202502A0082637,크린시아봉명,자이점,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,43,충청북도,43113,청주시 흥덕구,43113751,봉명1동,4311311500,봉명동,4311311500129340416,1,대지,충청북도 청주시 흥덕구 봉명동 2934,431133237072,충청북도 청주시 흥덕구 월명로,4.31131150010193e+24,충청북도 청주시 흥덕구 월명로 76,28569.0,1.0
MA0101202502A0017909,일만족발한국,교통대점,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,43,충청북도,43130,충주시,43130335,대소원면,4313033529,대소원면,4313033529100789760,1,대지,충청북도 충주시 대소원면 검단리 79-2,431303238012,충청북도 충주시 대소원면 대학로,4.31303302910079e+24,충청북도 충주시 대소원면 대학로 28,27470.0,3.0
MA0101202502A0061431,노랑통닭,오창점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425344,오창읍,4311425344106500096,1,대지,충청북도 청주시 청원구 오창읍 각리 650-5,431143240063,충청북도 청주시 청원구 오창읍 오창중앙로,4.3710253440065e+24,충청북도 청주시 청원구 오창읍 오창중앙로 123-11,28123.0,1.0
MA0101202502A0069559,일가자인력청주,흥덕점,N1,시설관리·임대,N104,고용 알선,N10401,고용 알선업,N75110,고용 알선업,43,충청북도,43113,청주시 흥덕구,43113751,봉명1동,4311311500,봉명동,4311311500102120448,1,대지,충청북도 청주시 흥덕구 봉명동 212-21,431133237072,충청북도 청주시 흥덕구 월명로,4.31131150010212e+24,충청북도 청주시 흥덕구 월명로 37,28591.0,3.0
MA0101202502A0078524,씨유충북대,정문점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113742,복대2동,4311311400,복대동,4311311400116300288,1,대지,충청북도 청주시 흥덕구 복대동 1630,431134511222,충청북도 청주시 흥덕구 내수동로42번길,4.3113114001163e+24,충청북도 청주시 흥덕구 내수동로42번길 3,28595.0,1.0
MA0101202502A0053581,더런드리셀프빨래방청주,탑동점,S2,수리·개인,S209,세탁,S20902,셀프 빨래방,S96912,가정용 세탁업,43,충청북도,43111,청주시 상당구,43111620,탑대성동,4311111700,탑동,4311111700103249920,1,대지,충청북도 청주시 상당구 탑동 325-1,431114508672,충청북도 청주시 상당구 탑동로1번길,4.31111170010325e+24,충청북도 청주시 상당구 탑동로1번길 104,28718.0,1.0
MA0101202502A0075464,씨유청주신봉,센터점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113700,운천.신봉동,4311310500,신봉동,4311310500102520320,1,대지,충청북도 청주시 흥덕구 신봉동 252-5,431133237036,충청북도 청주시 흥덕구 사운로,4.31131050010252e+24,충청북도 청주시 흥덕구 사운로 374,28455.0,1.0
MA0101202502A0105273,명장복국,청주금천점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111690,용담.명암.산성동,4311112100,용담동,4311112100103660032,1,대지,충청북도 청주시 상당구 용담동 366,431113014064,충청북도 청주시 상당구 산성로,4.31111210010366e+24,충청북도 청주시 상당구 산성로 104,28744.0,1.0
MA0101202502A0105350,온헤어커트,전문점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4311112000101150208,1,대지,충청북도 청주시 상당구 금천동 115-52,431113236032,충청북도 청주시 상당구 쇠내로,4.31111200010115e+24,충청북도 청주시 상당구 쇠내로 139,28731.0,1.0
MA0101202502A0086319,크린토피아코인워시청주,지웰시티점,S2,수리·개인,S209,세탁,S20902,셀프 빨래방,S96912,가정용 세탁업,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4311311400133790208,1,대지,충청북도 청주시 흥덕구 복대동 3379,431133237020,충청북도 청주시 흥덕구 대농로,4.31131140010288e+24,충청북도 청주시 흥덕구 대농로 43,28424.0,1.0
MA0101202505A0029368,이디야커피청주사직,중앙점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43112,청주시 서원구,43112520,사직2동,4311210100,사직동,4311210100100129792,1,대지,충청북도 청주시 서원구 사직동 13-12,431123236025,충청북도 청주시 서원구 사직대로,4.31131010010013e+24,충청북도 청주시 서원구 사직대로 282,28654.0,1.0
MA0101202505A0033257,역전할머니맥주,충북대점,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4311210200104460288,1,대지,충청북도 청주시 서원구 사창동 446-1,431124512177,충청북도 청주시 서원구 1순환로704번길,4.31131020010446e+24,충청북도 청주시 서원구 1순환로704번길 75,28643.0,1.0
MA0101202505A0044155,이노점빵,율량점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4311410300110119936,1,대지,충청북도 청주시 청원구 율량동 1012-1,431143236052,충청북도 청주시 청원구 율천북로,4.31111150011012e+24,충청북도 청주시 청원구 율천북로 193,28334.0,1.0
MA0101202505A0067986,꾸브라꼬숯불치킨,금천점,I2,음식,I210,기타 간이,I21006,치킨,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4311112000101100032,1,대지,충청북도 청주시 상당구 금천동 110-4,431113236032,충청북도 청주시 상당구 쇠내로,4.3111120001011e+24,충청북도 청주시 상당구 쇠내로 110,28739.0,1.0
MA0101202505A0043193,리븐헤어송절,봉명점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43113,청주시 흥덕구,43113770,강서2동,4311313400,송절동,4311313400107239424,1,대지,충청북도 청주시 흥덕구 송절동 724,431134855165,충청북도 청주시 흥덕구 송화로166번길,4.31131340010724e+24,충청북도 청주시 흥덕구 송화로166번길 22,28292.0,2.0
MA0101202505A0040784,휴대폰성지옆커폰청주,오창점,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425345,오창읍,4311425345108209664,1,대지,충청북도 청주시 청원구 오창읍 양청리 821-2,431142014001,충청북도 청주시 청원구 오창읍 오창대로,4.37102534500821e+24,충청북도 청주시 청원구 오창읍 오창대로 315,28120.0,1.0
MA0101202505A0017507,은경스킨앤바디청주,용암점,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,43,충청북도,43111,청주시 상당구,43111730,용암2동,4311112400,용암동,4311112400120829952,1,대지,충청북도 청주시 상당구 용암동 2083,431113236018,충청북도 청주시 상당구 무농정로,4.31111240012083e+24,충청북도 청주시 상당구 무농정로 99,28778.0,2.0
MA0101202505A0030584,메가엠지씨커피서청주점,롯데마트,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43113,청주시 흥덕구,43113760,강서1동,4311313800,비하동,4311313800108109824,1,대지,충청북도 청주시 흥덕구 비하동 811,431133014065,충청북도 청주시 흥덕구 2순환로,4.31131380010332e+24,충청북도 청주시 흥덕구 2순환로 1004,28360.0,1.0
MA0101202505A0013388,치킨왕김닭구청주,터미널점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4311311300111370240,1,대지,충청북도 청주시 흥덕구 가경동 1137,431133237092,충청북도 청주시 흥덕구 풍년로,4.31131130011137e+24,충청북도 청주시 흥덕구 풍년로 178,28395.0,1.0
MA0101202505A0059735,팀98짐,2호점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,43,충청북도,43130,충주시,43130335,대소원면,4313033524,대소원면,4313033524101929984,1,대지,충청북도 충주시 대소원면 만정리 193-13,431303238012,충청북도 충주시 대소원면 대학로,4.31303302410193e+24,충청북도 충주시 대소원면 대학로 11,27470.0,4.0
MA0101202505A0009831,해피니언1ST제천,본점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43150,제천시,43150510,교동,4315011600,장락동,4315011600104059904,1,대지,충청북도 제천시 장락동 406-3,431503239061,충청북도 제천시 장락로,4.31501160010406e+24,충청북도 제천시 장락로 146,27142.0,3.0
MA0101202505A0070051,율량돼지,봉명점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56111,한식 일반 음식점업,43,충청북도,43113,청주시 흥덕구,43113756,봉명2.송정동,4311311500,봉명동,4311311500128659968,1,대지,충청북도 청주시 흥덕구 봉명동 2866,431134511373,충청북도 청주시 흥덕구 백봉로183번길,4.31131150012866e+24,충청북도 청주시 흥덕구 백봉로183번길 6,28463.0,1.0
MA0101202505A0070474,갓튀긴후라이드,오창점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425345,오창읍,4311425345107489792,1,대지,충청북도 청주시 청원구 오창읍 양청리 749-6,431144520440,충청북도 청주시 청원구 오창읍 양청택지2길,4.37102534500749e+24,충청북도 청주시 청원구 오창읍 양청택지2길 10,28115.0,1.0
MA0101202505A0057246,비에이치씨,사직점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4311210200103160320,1,대지,충청북도 청주시 서원구 사창동 316-32,431123237064,충청북도 청주시 서원구 예체로,4.31131020010316e+24,충청북도 청주시 서원구 예체로 86,28650.0,1.0
MA0101202505A0060378,금천닭발&두루치기,동대문,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4311112000102960128,1,대지,충청북도 청주시 상당구 금천동 296,431114508297,충청북도 청주시 상당구 산성로98번길,4.31111200010296e+24,충청북도 청주시 상당구 산성로98번길 12,28744.0,1.0
MA0101202505A0070699,오늘통닭충주,용산점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43130,충주시,43130550,용산동,4313010600,용산동,4313010600116330496,1,대지,충청북도 충주시 용산동 1633,431303238083,충청북도 충주시 형설로,4.31301060011635e+24,충청북도 충주시 형설로 92,27398.0,1.0
MA0101202505A0061186,또또꼬마김밥청주,동남점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43111,청주시 상당구,43111720,용암1동,4311112400,용암동,4311112400130739712,1,대지,충청북도 청주시 상당구 용암동 3074,431114857347,충청북도 청주시 상당구 중고개로141번길,4.31111240013074e+24,충청북도 청주시 상당구 중고개로141번길 11-1,28808.0,1.0
MA0101202505A0073537,에어컨총판청주,본점,G2,소매,G208,가전·통신 소매,G20803,가전제품 소매업,G47320,가전제품 소매업,43,충청북도,43111,청주시 상당구,43111730,용암2동,4311112400,용암동,4311112400117980160,1,대지,충청북도 청주시 상당구 용암동 1798,431114508225,충청북도 청주시 상당구 무농정로15번길,4.31111240011798e+24,충청북도 청주시 상당구 무농정로15번길 1,28782.0,1.0
MA0101202505A0038351,움버거앤윙스청주,율량점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,43,충청북도,43114,청주시 청원구,43114550,오근장동,4311410500,주성동,4311410500103399424,1,대지,충청북도 청주시 청원구 주성동 340,431143349124,충청북도 청주시 청원구 율량로,4.31111310010142e+24,충청북도 청주시 청원구 율량로 96,28318.0,1.0
MA0101202505A0035639,쏜다사격장,율량점,R1,예술·스포츠,R104,유원지·오락,R10404,전자 게임장,R91221,전자 게임장 운영업,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4311410300120540160,1,대지,충청북도 청주시 청원구 율량동 2054,431144844107,충청북도 청주시 청원구 율량로202번길,4.31141030012054e+24,충청북도 청주시 청원구 율량로202번길 30,28320.0,1.0
MA0101202505A0055468,엄마손청소,1호점,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,N74211,건축물 일반 청소업,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4311311300101709824,1,대지,충청북도 청주시 흥덕구 가경동 171-2,431134511128,충청북도 청주시 흥덕구 경산로43번길,4.31131130010171e+24,충청북도 청주시 흥덕구 경산로43번길 18,28398.0,3.0
MA0101202505A0068888,오모가리뒷고기,전문점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56111,한식 일반 음식점업,43,충청북도,43750,진천군,43750253,덕산읍,4375025325,덕산읍,4375025325125429760,1,대지,충청북도 진천군 덕산읍 두촌리 2543,437504541650,충청북도 진천군 덕산읍 예지1길,4.37503102512543e+24,충청북도 진천군 덕산읍 예지1길 3-2,27875.0,1.0
MA0101202505A0042891,굽네치킨칠금,문화점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43130,충주시,43130625,칠금.금릉동,4313011600,칠금동,4313011600108069888,1,대지,충청북도 충주시 칠금동 807,431304515388,충청북도 충주시 칠금3길,4.31301160010807e+24,충청북도 충주시 칠금3길 16-1,27358.0,1.0
MA0101202505A0036589,일동자재,청주지점,G2,소매,G210,철물·건설자재 소매,G21003,건설/건축자재 소매업,G47519,페인트; 창호 및 기타 건설자재 소매업,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4311311300115539968,1,대지,충청북도 청주시 흥덕구 가경동 1554,431133237002,충청북도 청주시 흥덕구 가경로,4.31131130011554e+24,충청북도 청주시 흥덕구 가경로 8-1,28409.0,5.0
